system_id,datetime,value,measure_type_id,QAQC_flag,sensor_id
221,"2017-06-21 06:27:27",1102.000,temp_max,0,PISB
222,"2017-06-21 06:27:27",61.000,temp_ave,0,PISB
223,"2017-06-21 06:58:44",68.000,temp_ave,0,PISB
224,"2017-06-21 06:58:44",687.000,temp_min,0,PISB
225,"2017-06-21 06:58:44",1100.000,temp_max,0,PISB
226,"2017-06-21 06:58:44",61.000,temp_ave,0,PISB
227,"2017-06-21 07:30:01",68.000,temp_ave,0,PISB
228,"2017-06-21 07:30:01",683.000,temp_min,0,PISB
229,"2017-06-21 07:30:01",1099.000,temp_max,0,PISB
230,"2017-06-21 07:30:01",61.000,temp_ave,0,PISB
231,"2017-06-21 08:01:19",68.000,temp_ave,0,PISB
232,"2017-06-21 08:01:19",682.000,temp_min,0,PISB
233,"2017-06-21 08:01:19",1096.000,temp_max,0,PISB
234,"2017-06-21 08:01:19",61.000,temp_ave,0,PISB
235,"2017-06-21 08:32:36",68.000,temp_ave,0,PISB
236,"2017-06-21 08:32:36",679.000,temp_min,0,PISB
237,"2017-06-21 08:32:36",1099.000,temp_max,0,PISB
238,"2017-06-21 08:32:36",61.000,temp_ave,0,PISB
239,"2017-06-21 09:03:54",68.000,temp_ave,0,PISB
240,"2017-06-21 09:03:54",681.000,temp_min,0,PISB
241,"2017-06-21 09:03:54",1098.000,temp_max,0,PISB
242,"2017-06-21 09:03:54",59.000,temp_ave,0,PISB
243,"2017-06-21 09:35:12",68.000,temp_ave,0,PISB
244,"2017-06-21 09:35:12",683.000,temp_min,0,PISB
245,"2017-06-21 09:35:12",1092.000,temp_max,0,PISB
246,"2017-06-21 09:35:12",61.000,temp_ave,0,PISB
247,"2017-06-21 10:06:30",68.000,temp_ave,0,PISB
248,"2017-06-21 10:06:30",686.000,temp_min,0,PISB
249,"2017-06-21 10:06:30",1102.000,temp_max,0,PISB
250,"2017-06-21 10:06:30",61.000,temp_ave,0,PISB
251,"2017-06-21 10:37:51",68.000,temp_ave,0,PISB
252,"2017-06-21 10:37:51",680.000,temp_min,0,PISB
253,"2017-06-21 10:37:51",1087.000,temp_max,0,PISB
254,"2017-06-21 10:37:51",61.000,temp_ave,0,PISB
255,"2017-06-21 11:09:08",68.000,temp_ave,0,PISB
256,"2017-06-21 11:09:08",688.000,temp_min,0,PISB
257,"2017-06-21 11:09:08",1089.000,temp_max,0,PISB
258,"2017-06-21 11:09:08",61.000,temp_ave,0,PISB
259,"2017-06-21 11:40:28",68.000,temp_ave,0,PISB
260,"2017-06-21 11:40:28",680.000,temp_min,0,PISB
261,"2017-06-21 11:40:28",1094.000,temp_max,0,PISB
262,"2017-06-21 11:40:28",61.000,temp_ave,0,PISB
263,"2017-06-21 12:11:48",68.000,temp_ave,0,PISB
264,"2017-06-21 12:11:48",677.000,temp_min,0,PISB
265,"2017-06-21 12:11:48",1093.000,temp_max,0,PISB
266,"2017-06-21 12:11:48",61.000,temp_ave,0,PISB
267,"2017-06-21 12:43:06",68.000,temp_ave,0,PISB
268,"2017-06-21 12:43:06",687.000,temp_min,0,PISB
269,"2017-06-21 12:43:06",1091.000,temp_max,0,PISB
270,"2017-06-21 12:43:06",61.000,temp_ave,0,PISB
271,"2017-06-21 13:14:23",68.000,temp_ave,0,PISB
272,"2017-06-21 13:14:23",674.000,temp_min,0,PISB
273,"2017-06-21 13:14:23",1094.000,temp_max,0,PISB
274,"2017-06-21 13:14:23",61.000,temp_ave,0,PISB
275,"2017-06-21 13:45:41",68.000,temp_ave,0,PISB
276,"2017-06-21 13:45:41",678.000,temp_min,0,PISB
277,"2017-06-21 13:45:41",1094.000,temp_max,0,PISB
278,"2017-06-21 13:45:41",61.000,temp_ave,0,PISB
279,"2017-06-21 14:10:18",68.000,temp_ave,0,PISB
280,"2017-06-21 14:10:18",670.000,temp_min,0,PISB
281,"2017-06-21 14:10:18",1100.000,temp_max,0,PISB
282,"2017-06-21 14:10:18",63.000,temp_ave,0,PISB
283,"2017-06-21 14:19:05",68.000,temp_ave,0,PISB
284,"2017-06-21 14:19:05",677.000,temp_min,0,PISB
285,"2017-06-21 14:19:05",1088.000,temp_max,0,PISB
286,"2017-06-21 14:19:05",63.000,temp_ave,0,PISB
287,"2017-06-21 14:27:52",68.000,temp_ave,0,PISB
288,"2017-06-21 14:27:52",677.000,temp_min,0,PISB
289,"2017-06-21 14:27:52",1098.000,temp_max,0,PISB
290,"2017-06-21 14:27:52",63.000,temp_ave,0,PISB
291,"2017-06-21 14:36:41",68.000,temp_ave,0,PISB
292,"2017-06-21 14:36:41",674.000,temp_min,0,PISB
293,"2017-06-21 14:36:41",1094.000,temp_max,0,PISB
294,"2017-06-21 14:36:41",63.000,temp_ave,0,PISB
295,"2017-06-21 14:45:28",68.000,temp_ave,0,PISB
296,"2017-06-21 14:45:28",679.000,temp_min,0,PISB
297,"2017-06-21 14:45:28",1091.000,temp_max,0,PISB
298,"2017-06-21 14:45:28",61.000,temp_ave,0,PISB
299,"2017-06-21 14:54:17",68.000,temp_ave,0,PISB
300,"2017-06-21 14:54:17",679.000,temp_min,0,PISB
301,"2017-06-21 14:54:17",1091.000,temp_max,0,PISB
302,"2017-06-21 14:54:17",61.000,temp_ave,0,PISB
303,"2017-06-21 15:03:06",68.000,temp_ave,0,PISB
304,"2017-06-21 15:03:06",674.000,temp_min,0,PISB
305,"2017-06-21 15:03:06",1092.000,temp_max,0,PISB
306,"2017-06-21 15:03:06",61.000,temp_ave,0,PISB
307,"2017-06-21 15:11:53",68.000,temp_ave,0,PISB
308,"2017-06-21 15:11:53",681.000,temp_min,0,PISB
309,"2017-06-21 15:11:53",1091.000,temp_max,0,PISB
310,"2017-06-21 15:11:53",63.000,temp_ave,0,PISB
311,"2017-06-21 15:20:49",68.000,temp_ave,0,PISB
312,"2017-06-21 15:20:49",673.000,temp_min,0,PISB
313,"2017-06-21 15:20:49",1092.000,temp_max,0,PISB
314,"2017-06-21 15:20:49",61.000,temp_ave,0,PISB
315,"2017-06-21 15:29:37",68.000,temp_ave,0,PISB
316,"2017-06-21 15:29:37",678.000,temp_min,0,PISB
317,"2017-06-21 15:29:37",1095.000,temp_max,0,PISB
318,"2017-06-21 15:29:37",61.000,temp_ave,0,PISB
319,"2017-06-21 15:38:25",68.000,temp_ave,0,PISB
320,"2017-06-21 15:38:25",676.000,temp_min,0,PISB
321,"2017-06-21 15:38:25",1091.000,temp_max,0,PISB
322,"2017-06-21 15:38:25",61.000,temp_ave,0,PISB
323,"2017-06-21 15:47:13",68.000,temp_ave,0,PISB
324,"2017-06-21 15:47:13",680.000,temp_min,0,PISB
325,"2017-06-21 15:47:13",1087.000,temp_max,0,PISB
326,"2017-06-21 15:47:13",63.000,temp_ave,0,PISB
327,"2017-06-21 15:56:17",68.000,temp_ave,0,PISB
328,"2017-06-21 15:56:17",678.000,temp_min,0,PISB
329,"2017-06-21 15:56:17",1091.000,temp_max,0,PISB
330,"2017-06-21 15:56:17",63.000,temp_ave,0,PISB
331,"2017-06-21 16:05:06",68.000,temp_ave,0,PISB
332,"2017-06-21 16:05:06",678.000,temp_min,0,PISB
333,"2017-06-21 16:05:06",1083.000,temp_max,0,PISB
334,"2017-06-21 16:05:06",61.000,temp_ave,0,PISB
335,"2017-06-21 16:06:04",68.000,temp_ave,0,PISB
336,"2017-06-21 16:06:04",1312.000,temp_min,0,PISB
